[0.84449685,-0.0632082];[8.71352775e-04,-3.44483797e-04,-1.22288084e-01,9.92494205e-01];[[1.54078988, -0.52059823], [3.94818583, -0.70651629], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[98.0395405591958], [90.87196199463305], [0], [0], [0], [0], [0], [0], [0], [0]];[1.54078988,-0.52059823]
[1.34571198,-0.38992209];[1.21241542e-04,1.74919832e-04,-2.47807074e-01,9.68809372e-01];[[0.62762972, -0.55891611], [6.30000009, -0.29999997], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[44663.546668003815], [165.01478710059195], [0], [0], [0], [0], [0], [0], [0], [0]];[0.62762972,-0.55891611]
[0.35264107,-0.68915321];[0.00921822,-0.00766106,0.95422679,-0.29884371];[[4.11385857, -1.34050925], [-0.05547775, -0.70292116], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.043000519238927], [591.0989120447543], [0], [0], [0], [0], [0], [0], [0], [0]];[-0.05547775,-0.70292116]
[0.16135743,-0.65981859];[0.01103793,-0.00465443,0.99726963,-0.07286833];[[4.00000029, -1.4], [6.09048319, -1.6114881], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[8.043000519238927], [7.411575270017116], [0], [0], [0], [0], [0], [0], [0], [0]];[4.00000029,-1.4]
[0.08059234,0.08847188];[6.47817584e-04,1.28418282e-02,1.37599482e-02,9.99822646e-01];[[-0.992549, -1.72344697], [4.00000033, -1.39999986], [-1.39999975, 1.80000019], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[64.89236674055287], [6.467207938645686], [6.920833499311879], [0], [0], [0], [0], [0], [0], [0]];[-0.992549,-1.72344697]
[-0.89006484,-1.50930926];[-0.01261845,0.00435345,-0.82885633,0.55930224];[[1.97518265, -1.31459975], [6.10764027, -1.61741257], [4.00000033, -1.49999974], [0.20000028, -1.19999974], [-3.67968869, 0.19320959], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[428.85777748558036], [5.064090548382724], [97.2868962667397], [484.4879274332443], [5.322301945672309], [0], [0], [0], [0], [0]];[0.20000028,-1.19999974]
[0.07997414,-1.19909685];[-0.00287483,0.01606434,0.01899118,0.99968646];[[0.65000028, -3.89999995], [-1.43192884, -3.25586555], [-3.56666645, -3.73333335], [4.00000033, -1.49999992], [6.13881922, -1.60410225], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[5.744261322562206], [5.744261322562214], [5.461162438208131], [171.0347870871856], [96.3244009866114], [0], [0], [0], [0], [0]];[4.00000033,-1.49999992]
[4.18420699,-1.46034122];[-0.0015374,0.01485964,-0.11616931,0.99311707];[[-3.18425193, -3.87821266], [3.73333366, -3.93333359], [0.66666695, -4.03333354], [5.60000036, 1.39999985], [-0.18433692, 2.18993473], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[6.231535758448787], [6.777879423006785], [6.492803453404127], [6.492803453404121], [57.98937431165258], [0], [0], [0], [0], [0]];[-0.18433692,2.18993473]
[-0.30575498,2.24290055];[0.01300553,0.00917866,0.89884357,0.43798042];[[1.20325423, -4.81302789], [-3.60244792, -3.93473655], [6.23876299, -5.00738904], [-1.70103619, 2.10196698], [4.60000034, 1.69999977], [3.20000032, -4.40000032], [-1.59999975, -3.40000031], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0]];[[20.203064717727262], [6.094712700395167], [5.90304310090648], [20.279118513434376], [6.300018669820154], [6.09471270039517], [6.09471270039517], [0], [0], [0]];[-1.70103619,2.10196698]
[-1.45205792,2.13009742];[0.01528982,0.00134023,0.99829464,-0.0563226];[[0.11125059, 3.08554295], [-3.49999978, -3.65000031], [6.40000037, -5.10000033], [4.60000034, 1.69999977], [3.20000032, -4.40000032], [2.0000003, -5.70000034], [0.40000028, -4.20000032], [-1.59999975, -3.40000031], [-1.69999975, 1.99999977], [0.0, 0.0]];[[6.576076846037411], [6.152276098154452], [5.78216450876594], [6.15227609815446], [6.152276098154452], [5.961121040245522], [33.80451047634472], [6.152276098154452], [6.576076846037411], [0]];[0.40000028,-4.20000032]
